,name,position,club,division,based,nation,age,preferredfoot,preferredfootsimple,bestpos,bestpossimple,bestrole,value,wage,ca,pa,1v1,cor,cro,dri,fin,fir,fre,hea,lon,lth,mar,pas,pen,tck,tec,agg,ant,bra,cmp,cnt,dec,det,fla,ldr,otb,pos,tea,vis,wor,acc,aer,agi,bal,height,jum,nat,pac,sta,str,weight,cmd,com,ecc,han,kic,pun,ref,thr,tro
74,Phil Foden,M/AM (C),Man City,English Premier Division,England (Premier Division),ENG,19,Left,Left,AM (C),AM,AP,47000000,30000,152,175,2,12,13,15,14,17,13,8,12,5,8,16,12,8,17,7,13,13,13,14,14,14,16,8,15,8,14,16,14,15,2,17,15,171,6,14,15,14,8,64,3,2,4,1,4,1,1,2,3
76,Roberto Firmino,"AM (RLC), ST (C)",Liverpool,English Premier Division,England (Premier Division),BRA,27,Right,Right,ST (C),ST,DLF,63000000,180000,168,175,1,11,14,15,13,17,9,14,11,7,13,15,12,14,18,13,16,13,17,15,14,14,17,6,16,14,18,17,18,13,2,15,17,181,11,17,13,16,14,76,3,3,1,4,3,2,2,1,2
82,Edinson Cavani,ST (C),Man Utd,English Premier Division,England (Premier Division),URU,32,Right,Right,ST (C),ST,P,51000000,325000,159,174,1,5,11,13,17,13,10,18,13,5,8,11,17,8,13,14,17,18,17,16,12,16,14,13,17,12,14,10,16,14,3,14,15,184,14,17,14,17,14,71,3,1,2,2,1,1,1,3,3
84,Juan Mata,AM (RC),Man Utd,English Premier Division,England (Premier Division),ESP,31,Left,Left,AM (C),AM,AP,11750000,135000,135,174,1,14,14,13,14,19,16,4,10,3,2,17,15,4,19,11,17,9,15,12,15,15,15,11,16,3,16,17,12,10,3,14,13,171,6,13,9,11,8,65,1,2,3,3,4,3,2,1,1
87,Thiago Silva,D (C),Chelsea,English Premier Division,England (Premier Division),BRA,34,Right,Right,D (C),D,BPD,0,350000,161,174,2,4,5,10,7,14,8,17,7,7,17,13,14,16,13,17,17,15,15,17,16,15,8,15,10,17,15,12,14,12,3,13,16,183,13,14,12,14,15,79,1,2,2,2,2,3,1,3,1
89,Aymeric Laporte,D (C),Man City,English Premier Division,England (Premier Division),FRA,25,Left,Left,D (C),D,BPD,57000000,120000,170,173,3,8,11,13,8,14,10,16,11,8,16,16,11,16,15,14,16,15,16,17,16,14,12,13,14,16,13,16,14,14,3,13,14,191,16,13,14,14,14,86,3,2,1,2,1,2,1,3,2
97,Rhian Brewster,"AM (RL), ST (C)",Sheff Utd,English Premier Division,England (Premier Division),ENG,19,Right Only,Right,ST (C),ST,AF,14250000,55000,125,173,3,7,10,13,16,12,14,8,13,4,7,11,13,8,15,15,14,15,13,11,13,16,16,5,14,12,8,13,10,14,2,13,15,180,10,12,14,13,9,73,3,2,1,2,2,1,1,4,2
101,Thiago,"DM, M/AM (C)",Liverpool,English Premier Division,England (Premier Division),ESP,28,Right,Right,M (C),M,AP,69000000,200000,167,173,2,15,14,17,13,19,13,12,14,5,10,17,13,14,19,13,18,8,18,10,13,11,18,8,13,14,10,19,15,14,3,17,12,174,7,11,10,15,9,70,2,2,3,3,1,2,2,3,1
105,James RodrÃ­guez,M/AM (RLC),Everton,English Premier Division,England (Premier Division),COL,27,Left,Left,AM (C),AM,AM,51000000,100000,157,172,3,17,17,14,16,19,16,12,17,8,6,15,14,7,18,10,16,12,18,13,16,13,18,10,13,9,12,19,10,12,2,14,14,180,9,12,11,13,10,75,1,1,1,2,1,1,1,1,1
108,Mason Greenwood,"AM (R), ST (C)",Man Utd,English Premier Division,England (Premier Division),ENG,17,Either,Either,ST (C),ST,AF,30000000,25000,140,172,1,5,8,14,16,14,14,7,14,1,2,12,10,3,15,13,13,11,15,12,12,17,16,4,15,3,12,10,14,16,3,14,14,185,10,15,17,12,12,75,3,1,3,1,2,2,3,3,1
112,Son Heung-Min,"M (R), AM (RL), ST (C)",Tottenham,English Premier Division,England (Premier Division),KOR,26,Either,Either,AM (L),AM,IW,66000000,95000,172,172,3,13,13,15,18,13,10,10,16,6,5,12,9,6,17,8,16,6,17,11,13,13,13,13,18,7,15,12,17,16,2,15,12,183,10,16,15,16,10,77,2,1,2,1,2,4,1,3,2
113,Mateo Kovacic,"DM, M/AM (C)",Chelsea,English Premier Division,England (Premier Division),CRO,25,Right,Right,M (C),M,DLP,0,150000,164,172,2,13,14,17,12,17,12,10,13,7,12,17,12,12,17,14,15,14,14,11,16,17,16,11,13,12,15,16,15,14,1,15,16,178,9,12,14,15,14,78,2,2,1,1,3,1,1,2,1
118,RÃºben Dias,D (C),Man City,English Premier Division,England (Premier Division),POR,22,Right,Right,D (C),D,BPD,42500000,175000,160,171,2,4,11,12,6,12,5,15,4,5,17,14,8,14,12,18,14,18,13,14,14,17,8,16,7,15,16,12,16,13,2,15,15,187,15,18,13,16,16,83,4,2,2,3,1,2,1,1,3
124,Anthony Martial,"AM (L), ST (C)",Man Utd,English Premier Division,England (Premier Division),FRA,23,Right,Right,AM (L),AM,IF,37000000,180000,155,170,2,5,9,16,16,16,7,8,8,2,2,14,16,3,16,8,13,12,15,12,13,11,19,4,15,5,15,10,11,17,2,17,15,181,9,14,17,14,13,76,1,2,3,3,2,1,3,3,3
126,Bruno Fernandes,"M (C), AM (RC)",Man Utd,English Premier Division,England (Premier Division),POR,24,Right,Right,AM (C),AM,AM,57000000,100000,165,170,3,16,16,14,15,16,16,10,17,4,6,17,19,10,16,18,13,17,15,14,12,19,17,16,15,8,14,16,17,13,1,15,14,180,8,17,14,17,12,69,3,1,2,1,3,2,3,3,1
130,Hugo Lloris,GK,Tottenham,English Premier Division,England (Premier Division),FRA,32,Left Only,Left,GK,GK,SK,31500000,100000,157,170,15,9,3,5,1,8,12,9,3,2,4,8,3,10,10,15,17,18,7,14,14,15,6,15,6,16,15,9,16,14,11,17,11,188,13,15,12,15,14,82,12,13,12,17,11,13,17,11,18
131,Jack Grealish,M/AM (RLC),Aston Villa,English Premier Division,England (Premier Division),ENG,23,Right,Right,M (L),M,IW,55000000,60000,163,170,2,14,14,17,15,15,11,11,15,2,6,15,12,9,16,11,13,13,14,11,14,14,17,12,14,10,14,16,15,15,2,15,14,178,7,15,15,13,14,64,1,3,2,2,2,2,2,2,3
132,John Stones,D (C),Man City,English Premier Division,England (Premier Division),ENG,25,Right,Right,D (C),D,BPD,37000000,100000,156,170,4,5,10,13,8,13,5,15,5,8,14,15,12,17,14,10,14,16,17,13,14,13,12,13,16,14,13,14,16,13,3,15,16,188,14,18,15,14,13,72,2,1,3,1,3,3,1,2,3
138,Pierre-Emerick Aubameyang,"AM (RL), ST (C)",Arsenal,English Premier Division,England (Premier Division),GAB,30,Right,Right,ST (C),ST,AF,65000000,180000,165,170,3,5,10,13,17,14,11,14,13,2,5,11,14,6,14,12,15,12,14,14,12,13,15,12,17,7,14,11,14,19,1,15,12,187,14,15,18,15,12,80,3,3,1,3,3,1,4,2,1
140,RÃºben Neves,"DM, M (C)",Wolves,English Premier Division,England (Premier Division),POR,22,Right,Right,DM,DM,DLP,35000000,60000,150,170,2,14,13,12,9,14,16,9,16,7,11,17,15,13,16,13,15,11,15,15,15,13,11,13,11,14,15,17,12,11,2,13,14,180,11,14,11,13,11,80,2,2,3,1,3,1,2,2,3
145,Tanguy Ndombele,"DM, M (C)",Tottenham,English Premier Division,England (Premier Division),FRA,22,Right,Right,M (C),M,DLP,29500000,120000,145,170,1,6,8,15,7,16,8,10,8,4,13,16,7,13,15,13,14,14,13,12,13,16,15,10,14,12,15,14,16,15,4,14,15,181,10,15,15,14,16,76,3,2,1,2,3,3,3,2,4
147,Toby Alderweireld,D (RC),Tottenham,English Premier Division,England (Premier Division),BEL,30,Either,Either,D (C),D,BPD,36500000,150000,154,170,3,7,10,12,9,14,11,16,9,12,13,15,8,16,13,13,15,14,15,14,15,14,10,12,10,15,15,13,14,12,1,12,12,187,14,15,11,14,16,91,2,1,3,1,3,4,2,2,1
148,Youri Tielemans,M/AM (C),Leicester,English Premier Division,England (Premier Division),BEL,22,Right,Right,M (C),M,DLP,42500000,120000,154,170,2,14,13,13,12,16,14,9,14,3,11,17,14,11,16,11,14,12,16,12,15,14,15,14,14,12,14,17,15,13,3,14,12,176,8,14,11,13,10,72,2,2,1,1,1,1,3,2,2
177,Faustino Anjorin,M/AM (C),Chelsea,English Premier Division,England (Premier Division),ENG,17,Right,Right,AM (C),AM,SS,0,1500,101,169,2,7,9,8,14,10,5,7,13,10,6,9,8,7,10,10,8,10,12,8,10,11,14,10,8,6,8,10,11,15,1,9,11,185,12,11,14,16,14,81,3,2,1,1,1,3,3,2,3
190,Fabinho,"D (R), DM, M (C)",Liverpool,English Premier Division,England (Premier Division),BRA,25,Right,Right,DM,DM,DLP,54000000,120000,160,168,1,7,13,13,8,15,9,14,8,10,15,15,15,16,14,16,17,15,15,15,15,15,13,12,14,16,15,14,15,14,3,14,14,188,15,16,14,15,15,78,3,1,1,1,3,2,3,2,2
203,Tariq Lamptey,"D/WB (RL), M (R)",Brighton,English Premier Division,England (Premier Division),ENG,18,Right,Right,D (R),D,WB,24000000,5000,138,168,2,6,10,14,8,10,6,7,7,6,7,10,9,11,11,10,10,14,12,12,10,14,11,8,11,8,12,10,14,20,1,16,15,164,2,15,16,14,6,62,3,1,3,2,1,1,2,2,1
211,Giovani Lo Celso,"DM, M (LC), AM (C)",Tottenham,English Premier Division,England (Premier Division),ARG,23,Left,Left,AM (C),AM,AP,47000000,100000,157,167,3,11,15,15,11,16,13,10,13,8,9,17,14,12,16,10,16,12,14,13,16,15,15,10,16,12,16,17,14,14,1,14,15,176,9,12,13,14,11,69,1,2,1,2,2,3,3,4,3
213,Ilkay GÃ¼ndogan,"DM, M/AM (C)",Man City,English Premier Division,England (Premier Division),GER,28,Right,Right,M (C),M,DLP,44500000,150000,160,167,2,10,12,14,12,17,10,7,11,6,10,16,15,13,16,15,13,12,16,14,14,12,13,10,13,11,16,16,14,14,2,16,14,180,9,13,13,15,13,79,1,2,1,2,3,2,1,2,2
225,Reece James,"D/WB (R), M (C)",Chelsea,English Premier Division,England (Premier Division),ENG,19,Right,Right,D (R),D,FB,0,60000,141,167,1,13,16,11,7,13,14,11,11,9,12,13,7,13,13,11,12,12,14,14,13,16,12,13,12,12,12,10,13,15,1,12,15,180,8,15,14,15,15,87,1,2,3,2,1,2,1,2,1
234,Joe Gomez,D (RLC),Liverpool,English Premier Division,England (Premier Division),ENG,22,Right,Right,D (C),D,BPD,40500000,75000,154,166,1,4,9,14,5,15,5,15,5,14,14,14,5,15,14,14,15,14,15,14,14,17,9,10,10,15,14,8,14,16,1,15,14,188,15,15,16,15,15,87,1,2,1,3,2,2,3,3,2
239,Naby KeÃ¯ta,"DM, M (C)",Liverpool,English Premier Division,England (Premier Division),GUI,24,Right,Right,M (C),M,BBM,44500000,120000,155,166,3,8,11,17,11,13,11,7,12,6,12,14,9,14,16,15,17,14,15,14,13,14,15,9,17,14,16,15,16,15,3,17,16,172,8,15,13,17,11,64,1,1,2,2,3,1,2,1,1
240,Rayan AÃ¯t-Nouri,D (L),Wolves,English Premier Division,England (Premier Division),FRA,18,Left,Left,D (L),D,FB,1000000,4000,124,166,2,8,14,12,8,14,7,10,7,8,12,13,8,13,13,11,13,13,12,12,12,15,12,7,14,14,12,13,11,14,3,13,12,179,10,12,14,13,10,70,1,1,1,3,2,1,1,1,1
241,Richarlison,"AM (RL), ST (C)",Everton,English Premier Division,England (Premier Division),BRA,22,Either,Either,AM (L),AM,IW,32000000,110000,146,166,4,10,10,15,14,12,9,14,11,8,6,12,12,13,14,14,12,13,12,12,9,14,14,9,14,7,8,10,16,14,2,14,12,181,11,15,16,16,15,71,3,2,3,3,1,2,2,3,2
247,Andrew Robertson,D/WB (L),Liverpool,English Premier Division,England (Premier Division),SCO,25,Left Only,Left,D (L),D,FB,46500000,80000,157,165,2,9,16,12,4,15,7,10,8,13,15,14,7,15,13,15,16,16,14,15,15,15,11,12,15,15,16,14,17,16,3,14,14,178,9,18,16,17,12,64,1,3,2,2,4,3,1,3,3
251,Dele Alli,"M (C), AM (LC), ST (C)",Tottenham,English Premier Division,England (Premier Division),ENG,23,Right,Right,AM (C),AM,AP,49000000,100000,156,165,1,8,12,16,15,14,10,12,13,8,10,15,14,11,15,12,16,12,16,11,11,15,17,7,17,10,16,15,17,11,2,15,13,188,12,18,12,18,12,80,1,2,2,3,2,2,2,3,3
253,Eric GarcÃ­a,D (C),Man City,English Premier Division,England (Premier Division),ESP,18,Right,Right,D (C),D,BPD,18000000,12000,135,165,1,4,6,12,7,13,6,13,5,8,13,14,6,13,13,12,14,13,16,15,13,17,12,14,14,15,14,13,15,13,1,14,13,182,12,14,13,14,12,79,3,1,2,2,1,2,1,2,3
257,Fernandinho,"D (C), DM, M (C)",Man City,English Premier Division,England (Premier Division),BRA,34,Right,Right,M (C),M,MEZ,11250000,180000,165,165,2,10,9,13,11,15,10,13,13,6,13,15,15,14,16,15,14,16,15,18,17,16,10,14,15,13,17,13,18,13,1,15,14,179,11,15,13,14,14,67,3,1,2,2,2,3,3,2,1
259,Ferran Torres,M/AM (R),Man City,English Premier Division,England (Premier Division),ESP,19,Right,Right,AM (R),AM,W,20000000,66000,140,165,3,12,13,15,14,13,12,11,12,8,6,13,10,7,14,10,11,9,11,8,12,14,15,10,14,9,12,12,11,17,1,14,12,180,11,12,15,12,11,75,3,3,3,3,3,3,1,2,3
265,JoÃ£o Cancelo,D/WB/M/AM (R),Man City,English Premier Division,England (Premier Division),POR,25,Right,Right,WB (R),WB,CWB,50000000,140000,158,165,2,12,15,17,11,15,12,10,12,13,9,15,11,13,16,12,14,12,12,10,9,10,18,7,15,8,12,14,13,16,3,16,14,182,11,15,16,14,12,74,2,3,1,3,2,2,2,1,3
266,Jordan Pickford,GK,Everton,English Premier Division,England (Premier Division),ENG,25,Left,Left,GK,GK,SK,24000000,120000,146,165,15,10,2,2,1,11,13,8,2,2,3,10,1,1,14,16,14,15,11,14,12,14,3,14,3,14,10,13,11,8,14,16,12,187,14,9,8,13,13,77,15,16,11,14,16,9,16,12,12
276,Nemanja Matic,"DM, M (C)",Man Utd,English Premier Division,England (Premier Division),SRB,30,Left,Left,M (C),M,CM,14500000,120000,137,165,3,10,11,11,8,14,10,16,14,10,13,15,12,16,15,12,15,14,16,15,15,13,4,12,8,15,17,13,13,7,3,7,19,194,16,15,9,14,17,85,1,1,1,2,2,1,2,2,3
278,Pablo Fornals,"DM, M/AM (C)",West Ham,English Premier Division,England (Premier Division),ESP,23,Right,Right,AM (C),AM,AP,27500000,80000,142,165,2,9,14,13,12,16,12,8,12,7,12,16,9,14,15,15,14,8,13,12,13,14,15,11,14,12,13,15,9,12,4,15,12,178,9,14,12,14,11,67,3,2,1,2,2,3,1,2,2
281,Ricardo Pereira,D/WB/AM (R),Leicester,English Premier Division,England (Premier Division),POR,25,Right,Right,D (R),D,WB,31500000,70000,150,165,1,9,14,14,11,12,8,6,12,7,12,12,12,16,14,11,14,13,12,12,12,15,13,7,14,13,15,13,16,16,1,14,13,175,9,15,15,15,10,70,3,2,3,2,2,3,2,3,3
282,Rodri,"DM, M (C)",Man City,English Premier Division,England (Premier Division),ESP,23,Right,Right,DM,DM,DLP,44500000,120000,155,165,1,8,8,10,7,15,8,13,12,10,12,14,8,15,14,10,16,13,15,15,16,13,9,11,10,18,16,14,15,13,2,12,13,191,14,11,13,15,13,75,3,2,3,3,3,3,1,3,3
283,Rodrigo,"AM (RL), ST (C)",Leeds,English Premier Division,England (Premier Division),ESP,28,Left,Left,ST (C),ST,AF,41000000,70000,154,165,3,11,13,15,13,17,12,13,13,5,6,14,13,9,16,12,16,12,10,9,13,13,14,5,17,9,12,14,13,17,1,16,13,182,14,14,17,14,12,77,1,3,1,2,1,1,2,3,2
284,Sander Berge,"DM, M/AM (C)",Sheff Utd,English Premier Division,England (Premier Division),NOR,21,Right,Right,M (C),M,DLP,23000000,40000,137,165,1,8,11,12,10,13,8,12,10,6,11,14,12,13,15,12,14,12,13,14,13,14,10,11,13,12,14,14,14,13,2,13,14,191,13,14,13,15,15,88,1,2,2,1,2,2,1,1,3
288,Thierry Small,D/WB (L),Everton,English Premier Division,England (Premier Division),ENG,14,Left,Left,D (L),D,CWB,41000,120,75,165,3,2,9,13,10,12,2,7,7,6,8,7,4,10,15,6,8,9,4,5,9,12,15,10,1,12,7,7,5,16,2,7,12,177,11,13,15,5,12,65,3,3,3,3,2,3,1,2,4
290,Wesley Fofana,"D (C), DM",Leicester,English Premier Division,England (Premier Division),FRA,18,Right,Right,DM,DM,VOL,16250000,57000,138,165,3,9,9,11,8,12,7,15,11,8,13,12,5,14,12,10,12,13,12,12,12,12,10,10,12,14,12,12,13,13,3,13,10,185,16,14,15,14,14,76,1,2,1,2,3,1,2,2,2
291,Andreas Christensen,"D (C), DM, M (C)",Chelsea,English Premier Division,England (Premier Division),DEN,23,Right,Right,D (C),D,BPD,0,80000,147,165,3,5,10,10,9,12,5,15,8,12,14,14,9,14,13,12,18,10,15,13,15,11,9,14,10,16,15,10,12,12,1,11,12,187,14,14,15,13,11,81,1,1,1,2,4,1,1,2,1
292,Ben Chilwell,D/WB (L),Chelsea,English Premier Division,England (Premier Division),ENG,22,Left,Left,D (L),D,WB,0,140000,146,165,3,13,12,14,7,13,11,12,7,11,14,12,11,13,13,12,14,13,14,13,12,14,11,12,11,15,14,12,16,15,2,14,14,178,10,14,16,15,12,77,4,3,3,4,1,1,4,2,1
293,CÃƒÂ©sar Azpilicueta,"D (RLC), WB (RL)",Chelsea,English Premier Division,England (Premier Division),ESP,29,Either,Either,D (R),D,FB,0,150000,150,165,3,8,15,8,6,11,7,9,9,11,12,11,8,15,13,12,15,16,14,15,15,16,8,16,12,13,17,10,18,12,3,13,12,178,9,17,14,17,9,76,3,2,3,3,1,1,1,2,2
294,N'Golo KantÃƒÂ©,"DM, M (C)",Chelsea,English Premier Division,England (Premier Division),FRA,28,Right,Right,M (C),M,BBM,0,300000,165,165,3,6,12,11,10,12,8,10,10,6,12,13,8,20,14,15,16,15,14,15,16,15,13,5,15,15,20,14,20,16,2,14,15,168,7,18,15,20,13,72,3,2,3,2,3,2,2,2,3
295,Tammy Abraham,ST (C),Chelsea,English Premier Division,England (Premier Division),ENG,21,Right,Right,ST (C),ST,PF,0,50000,150,165,2,6,10,13,16,13,8,14,11,7,4,12,14,6,14,14,14,13,14,12,15,15,14,12,14,10,14,10,17,16,2,13,15,194,15,16,15,13,13,81,1,1,2,3,1,2,1,3,2
299,Diogo Jota,"AM (LC), ST (C)",Liverpool,English Premier Division,England (Premier Division),POR,22,Either,Either,AM (L),AM,IW,33500000,76000,147,164,3,8,12,16,15,14,11,11,13,4,5,13,10,7,14,17,13,14,13,10,11,17,17,6,16,5,10,12,15,16,4,16,13,178,6,14,15,13,9,73,1,2,1,3,1,3,3,3,2
300,FÃ¡bio Silva,ST (C),Wolves,English Premier Division,England (Premier Division),POR,16,Right,Right,ST (C),ST,AF,5750000,28000,118,164,2,8,8,14,13,15,7,11,10,7,5,12,12,5,15,11,11,10,14,11,12,15,13,6,13,5,11,12,12,12,3,12,12,185,13,12,13,11,13,75,3,1,2,1,3,4,1,1,1
312,NÃ©lson Semedo,D/WB (R),Wolves,English Premier Division,England (Premier Division),POR,25,Right,Right,D (R),D,WB,35000000,83000,149,164,3,8,12,14,11,15,8,7,12,11,11,12,8,14,15,13,14,14,12,12,11,15,14,6,16,13,14,12,15,17,3,16,14,177,8,15,16,15,13,67,1,2,3,1,1,2,2,3,3
313,Nathan AkÃ©,"D (LC), DM",Man City,English Premier Division,England (Premier Division),NED,24,Left,Left,D (C),D,BPD,28000000,78000,147,164,3,2,10,12,8,14,6,15,10,10,14,13,2,15,15,12,14,13,14,12,12,14,6,14,5,15,14,13,16,16,1,14,13,179,14,12,15,14,14,73,3,3,2,3,3,3,4,2,3
320,Callum Hudson-Odoi,AM (RLC),Chelsea,English Premier Division,England (Premier Division),ENG,18,Either,Either,AM (L),AM,IW,0,120000,145,164,1,10,15,15,9,15,12,7,8,12,5,15,8,5,15,7,10,6,14,11,13,10,15,6,15,9,9,14,12,16,3,15,12,177,8,12,15,12,10,75,2,2,3,1,3,2,1,2,3
321,Christian Pulisic,"M (RL), AM (RLC)",Chelsea,English Premier Division,England (Premier Division),USA,20,Right,Right,M (R),M,IW,0,150000,150,164,2,12,11,16,13,16,10,8,10,5,6,12,10,8,15,16,12,9,10,10,13,12,15,7,15,8,15,14,16,17,1,17,8,172,7,13,15,14,7,69,3,2,2,2,2,2,2,2,3
327,Amad TraorÃ©,"AM (RL), ST (C)",Man Utd,English Premier Division,England (Premier Division),CIV,16,Left,Left,AM (R),AM,IW,1500000,33000,116,163,2,8,11,14,11,13,10,6,11,2,4,12,8,3,15,7,12,7,11,10,11,17,16,8,13,5,8,12,11,14,2,15,13,174,7,15,12,11,6,68,1,3,1,1,4,3,3,1,3
